"","site","date","year"
"1","Site 1",2013-05-22,2013
"2","Site 1",2013-05-23,2013
"3","Site 1",2013-06-01,2013
"4","Site 1",2013-06-15,2013
"5","Site 1",2013-06-28,2013
"6","Site 2",2013-06-05,2013
"7","Site 2",2013-06-09,2013
"8","Site 2",2013-06-16,2013
"9","Site 2",2013-06-05,2013
"10","Site 2",2013-06-24,2013
"11","Site 2",2013-07-07,2013
"12","Site 3",2013-05-26,2013
"13","Site 3",2013-06-01,2013
"14","Site 3",2013-06-14,2013
"15","Site 3",2013-06-21,2013
"16","Site 3",2013-06-14,2013
"17","Site 3",2013-07-04,2013
"18","Site 3",2013-07-01,2013
"19","Site 3",2013-07-02,2013
"20","Site 3",2013-07-02,2013
"21","Site 4",2013-05-23,2013
"22","Site 4",2013-05-28,2013
"23","Site 4",2013-06-02,2013
"24","Site 4",2013-06-11,2013
"25","Site 4",2013-06-20,2013
"26","Site 4",2013-06-30,2013
"27","Site 4",2013-07-01,2013
"28","Site 4",2013-07-01,2013
"29","Site 4",2013-07-02,2013
"30","Site 4",2013-07-02,2013
"31","Site 4",2013-07-03,2013
"32","Site 5",2013-05-23,2013
"33","Site 5",2013-05-28,2013
"34","Site 5",2013-06-04,2013
"35","Site 5",2013-06-14,2013
"36","Site 5",2013-06-20,2013
"37","Site 5",2013-06-28,2013
"38","Site 6",2013-05-23,2013
"39","Site 6",2013-07-06,2013
"40","Site 7",2013-06-13,2013
"41","Site 7",2013-06-18,2013
"42","Site 7",2013-07-07,2013
"43","Site 7",2013-07-01,2013
"44","Site 7",2013-07-02,2013
"45","Site 7",2013-07-03,2013
"46","Site 8",2013-05-16,2013
"47","Site 8",2013-05-24,2013
"48","Site 8",2013-05-04,2013
"49","Site 8",2013-05-30,2013
"50","Site 8",2013-06-12,2013
"51","Site 8",2013-06-13,2013
"52","Site 8",2013-06-29,2013
"53","Site 8",2013-07-04,2013
"54","Site 8",2013-07-01,2013
"55","Site 8",2013-07-02,2013
"56","Site 8",2013-07-02,2013
